Def. de projeto ;JAZIDA
EXBSRF0ATP15;ATAPU
IN3A4212435;ATAPU
IN3A4213454;ATAPU
IN3A4213504;ATAPU
IN3A4214594;ATAPU
IN3A4215395;ATAPU
IN3A4215575;ATAPU
IN3A4917530;ATAPU
JV3A2809530;ATAPU
JV3A2813562;ATAPU
JV3A4916454;ATAPU
JV3A4917530;ATAPU
JV3A5020001;ATAPU
JV3A5118454;ATAPU
JV3A5118530;ATAPU
JV3A5120454;ATAPU
JV3A5121133;ATAPU
JV3A5122001;ATAPU
JV3A5122225;ATAPU
JV3A5122484;ATAPU
JC3A2809530;ATAPU
JC3A2813562;ATAPU
JC3A4916454;ATAPU
JC3A4917530;ATAPU
JC3A5020001;ATAPU
JC3A5118454;ATAPU
JC3A5118530;ATAPU
JC3A5120454;ATAPU
JC3A5121133;ATAPU
JC3A5122001;ATAPU
JC3A5122225;ATAPU
JC3A5122484;ATAPU
IN3A5216549;BERBIGÃO
JV3A2813549;BERBIGÃO
JV3A2813563;BERBIGÃO
JV3A2814573;BERBIGÃO
JV3A5016549;BERBIGÃO
JV3A5218549;BERBIGÃO
JV3A5219549;BERBIGÃO
JV3A5220001;BERBIGÃO
JV3A5222001;BERBIGÃO
JC3A2813549;BERBIGÃO
JC3A2813563;BERBIGÃO
JC3A2814573;BERBIGÃO
JC3A5016549;BERBIGÃO
JC3A5218549;BERBIGÃO
JC3A5219549;BERBIGÃO
JC3A5220001;BERBIGÃO
JC3A5222001;BERBIGÃO
IN3A3911500;ITAPU
IN3A3913441;ITAPU
IN3A3914434;ITAPU
IN3A3915597;ITAPU
IN3A3920001;ITAPU
IN3A3920002;ITAPU
IN3A3922001;ITAPU
JV3A3920001;ITAPU
JV3A3920440;ITAPU
JV3A3920441;ITAPU
JC3A3920001;ITAPU
JC3A3920440;ITAPU
JC3A3920441;ITAPU
JV3A4112542;JÚPITER
JV3A4114515;JÚPITER
JV3A4119515;JÚPITER
JC3A4112542;JÚPITER
JC3A4114515;JÚPITER
JC3A4119515;JÚPITER
JV3A0309477;SAPINHOÁ
JV3A2909531;SAPINHOÁ
JV3A2910457;SAPINHOÁ
JV3A2911496;SAPINHOÁ
JV3A2911532;SAPINHOÁ
JV3A2915598;SAPINHOÁ
JV3A2917457;SAPINHOÁ
JV3A2917531;SAPINHOÁ
JV3A2918020;SAPINHOÁ
JV3A2918598;SAPINHOÁ
JV3A2918927;SAPINHOÁ
JV3A2919002;SAPINHOÁ
JV3A2919200;SAPINHOÁ
JV3A2920001;SAPINHOÁ
JV3A2922002;SAPINHOÁ
JV3A2922083;SAPINHOÁ
JV3A2923001;SAPINHOÁ
